================ Wed Jul 24 11:56:49 EDT 2013 =========================
tgtd: [11:56:49.494273] work_timer_start(146) use timer_fd based scheduler
tgtd: [11:56:49.494661] bs_init(313) use signalfd notification
tgtd: [11:57:45.201252] caught signal 15, exiting
================ Wed Jul 24 11:59:46 EDT 2013 =========================
tgtd: [11:59:46.569691] work_timer_start(146) use timer_fd based scheduler
tgtd: [11:59:46.570092] bs_init(313) use signalfd notification
tgtd: [12:00:43.009292] caught signal 15, exiting
================ Wed Jul 24 12:01:20 EDT 2013 =========================
tgtd: [12:01:20.868286] work_timer_start(146) use timer_fd based schedultgtd: [12:01:27.223317] work_timer_start(146) use timer_fd based schedultgtd: [12:01:30.317536] work_timer_start(146) use timer_fd based schedultgtd: [12:01:33.227075] work_timer_start(146) use timer_fd based scheduler
tgtd: [12:01:33.227526] bs_init(313) use signalfd notification
tgtd: [12:01:35.228558] tgt_device_create(576) Unknown device type 127
tgtd: [12:01:35.233109] device_mgmt(239) sz:26 params:path=/dev/sda,bstype=rdwr
tgtd: [12:01:35.233172] bs_thread_open(335) 16
tgtd: [12:01:42.703042] conn_init(68) connection open, 0x1d45418
tgtd: [12:01:42.705393] conn_close(104) connection closed, 0x1d45418 1
tgtd: [12:01:42.713140] conn_init(68) connection open, 0x1d45418
.038672] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:01:45.792744] conn_init(68) connection open, 0x231eb28
tgtd: [12:01:46.043226] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:01:48.797250] conn_init(68) connection open, 0x231eb28
tgtd: [12:01:49.047710] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:01:51.801807] conn_init(68) connection open, 0x231eb28
tgtd: [12:01:52.052380] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:01:54.806403] conn_init(68) connection open, 0x231eb28
tgtd: [12:01:55.056899] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:01:57.810968] conn_init(68) connection open, 0x231eb28
tgtd: [12:01:58.061448] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:02:00.815484] conn_init(68) connection open, 0x231eb28
tgtd: [12:02:01.066006] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:02:03.820109] conn_init(68) connection open, 0x231eb28
